Produto,Região,Preço,Dia,Mês,Ano,Data
Alface Americana,Mogi das Cruzes,"R$ 7,60",14,1,2014,2014-01-14 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 8,00",14,1,2014,2014-01-14 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 8,80",14,1,2014,2014-01-14 00:00:00
Alface Americana,Ibiúna,"R$ 10,00",14,1,2014,2014-01-14 00:00:00
Alface Crespa,Ibiúna,"R$ 7,00",14,1,2014,2014-01-14 00:00:00
Alface Lisa,Ibiúna,"R$ 7,33",14,1,2014,2014-01-14 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 8,25",23,1,2014,2014-01-23 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 7,50",23,1,2014,2014-01-23 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 9,00",23,1,2014,2014-01-23 00:00:00
Alface Americana,Ibiúna,"R$ 10,33",23,1,2014,2014-01-23 00:00:00
Alface Crespa,Ibiúna,"R$ 9,00",23,1,2014,2014-01-23 00:00:00
Alface Lisa,Ibiúna,"R$ 8,67",23,1,2014,2014-01-23 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,80",26,1,2014,2014-01-26 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,50",29,1,2014,2014-01-29 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,25",29,1,2014,2014-01-29 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,00",29,1,2014,2014-01-29 00:00:00
Alface Americana,Ibiúna,"R$ 13,50",29,1,2014,2014-01-29 00:00:00
Alface Crespa,Ibiúna,"R$ 9,67",29,1,2014,2014-01-29 00:00:00
Alface Lisa,Ibiúna,"R$ 8,50",29,1,2014,2014-01-29 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 15,67",7,2,2014,2014-02-07 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 17,25",7,2,2014,2014-02-07 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 17,50",7,2,2014,2014-02-07 00:00:00
Alface Americana,Ibiúna,"R$ 17,75",7,2,2014,2014-02-07 00:00:00
Alface Crespa,Ibiúna,"R$ 20,00",7,2,2014,2014-02-07 00:00:00
Alface Lisa,Ibiúna,"R$ 20,00",7,2,2014,2014-02-07 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 28,00",14,2,2014,2014-02-14 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 25,67",14,2,2014,2014-02-14 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 24,75",14,2,2014,2014-02-14 00:00:00
Alface Americana,Ibiúna,"R$ 23,75",14,2,2014,2014-02-14 00:00:00
Alface Crespa,Ibiúna,"R$ 27,33",14,2,2014,2014-02-14 00:00:00
Alface Lisa,Ibiúna,"R$ 26,00",14,2,2014,2014-02-14 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 21,75",21,2,2014,2014-02-21 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 27,75",21,2,2014,2014-02-21 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 26,67",21,2,2014,2014-02-21 00:00:00
Alface Americana,Ibiúna,"R$ 20,20",21,2,2014,2014-02-21 00:00:00
Alface Crespa,Ibiúna,"R$ 26,80",21,2,2014,2014-02-21 00:00:00
Alface Lisa,Ibiúna,"R$ 26,00",21,2,2014,2014-02-21 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 21,25",27,2,2014,2014-02-27 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 25,60",27,2,2014,2014-02-27 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 24,33",27,2,2014,2014-02-27 00:00:00
Alface Americana,Ibiúna,"R$ 21,00",27,2,2014,2014-02-27 00:00:00
Alface Crespa,Ibiúna,"R$ 24,75",27,2,2014,2014-02-27 00:00:00
Alface Lisa,Ibiúna,"R$ 23,00",27,2,2014,2014-02-27 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 24,25",7,3,2014,2014-03-07 00:00:00
